dist_cumul [km];lat [g];lon [g];height (NF02) [m]
2.349993445;46.63546168;6.650155131;621.2
2.364598883;46.63549782;6.650339044;621.3
2.385356493;46.63551441;6.650609839;621.5
2.40598936;46.63550699;6.650879861;622.2
2.430424076;46.63545258;6.651189931;623.6
2.448464579;46.63539368;6.651410095;624
2.464844621;46.63529642;6.651571213;623.9
2.491971885;46.6350846;6.651747496;624.2
2.520231834;46.63487692;6.651960831;624.3
2.532574316;46.63483224;6.652108809;622.1
2.539685542;46.63480259;6.652191338;622.2
2.544628055;46.63477428;6.652241235;622.2
2.548840348;46.63476147;6.652293154;622.7
2.556581938;46.63470061;6.6523424;624.2
2.559694094;46.63467357;6.652352916;624.7
2.564518446;46.63463018;6.652352424;625.3
2.571393831;46.63456963;6.652334188;625.4
2.576057323;46.63453607;6.652297565;625.5
2.588051437;46.63443096;6.652332835;625.6
2.601410579;46.63432351;6.652254554;625.8
2.609519074;46.63425209;6.652233103;626
2.624284635;46.63412205;6.652193944;626.3
2.627749413;46.63409403;6.65217411;626.8
2.630668412;46.63407525;6.652147393;628.6
2.635912152;46.63403931;6.652102932;630
2.641511415;46.63400485;6.652049454;633.3
2.651903867;46.63394525;6.65194461;636.1
2.660604887;46.6338966;6.651855351;636.8
2.667454417;46.63386797;6.651775922;637
2.67370643;46.63387808;6.651695372;637.1
2.677752534;46.63390966;6.651669045;638.2
2.685226209;46.63397057;6.651627671;641.2
2.696460295;46.63404737;6.651532083;642.4
2.704018317;46.6341059;6.651481746;643.9
2.707975663;46.634132;6.651446502;643.8
2.712549672;46.63415099;6.651393368;644.6
2.716121339;46.63414525;6.651347343;645.1
2.722577749;46.63416951;6.651270515;645.8
2.726944578;46.63419243;6.651224072;646.6
2.729747771;46.63421123;6.651199612;647.4
2.732622864;46.6342312;6.651175703;648.8
2.735364801;46.63424416;6.651145149;649.6
2.738106737;46.63425712;6.651114596;650.3
2.741254191;46.63427315;6.651080623;650.1
2.746815181;46.6343231;6.651077089;650.8
2.750899924;46.63432079;6.651023697;651.1
2.753902881;46.63429665;6.651006056;651.1
2.764174604;46.63420549;6.650984339;651.2
2.771765939;46.63415161;6.650923272;650.9
2.781071309;46.63407383;6.650878299;651
